id	type	organization
org_0AlUQYjY5FIAlCgowsx0	3	Navteq B.V.
org_0aMccTE5HFdKPR3ilzXr	3	Supportec Co., Ltd.
org_0AMkvaSUDrxolEdInQko	3	Forstgarten Holding GmbH
org_0ao4VQzpe1LpMDVESO8m	2	Castlewood Surgical, Inc.
org_0AoIzDhkMaXr3Dqp1AsY	3	Southpac Trust International Inc., Trustee of the LDH Trust
org_0AtyB0YDBfYFKv4SRAOl	3	MaxEmil Photonics Corporation
org_0aVO5Xgo5Kb4ducmA8QP	3	Weir Vulco, S.A.
org_0AxTbVx1ZY20GjXxfIxj	3	Kansai Paint Co., Ltd.
org_0AyizXHABTwIZB9Syx5h	3	Honeywell Technologies Sarl
org_0AyqIwuNmLQlwqjBKNK6	3	Covalon Technologies, Inc.
org_0AYSOBtSWETxCaz6AVZn	3	Istituto Ortopedico Rizzoli
org_0aZLigCo5FNeguDYm07A	3	Research and Production Enterprise “Bourevestnik”
org_0B1g1vB3scdZkkHPMm4E	3	European Technology for Business Limited
org_0B4kSd5xn6IGbk2zXp87	2	SpiderCloud Wirelss, Inc.
org_0B51eNyP4yhsn83XeEV2	3	FAIRLY BIKE MANUFACTURING CO., LTD.
org_0B64syuzTKzO9niQja39	2	Polaris Direct
org_0b8x6f8ASexQ4KmSZzpH	2	Smart Points Technology, Inc.
org_0BAhncopRsVMpb8mwrqP	2	Cayman Chemical Company, Inc.
org_0BAvW3EmNSvsL4ORQ8VD	2	DR Pharma Nova, LLC
org_0bBeH2n2g3idIMZXC9Sr	3	Lama D.D. Dekani
org_0bBzBJu5KK81Q7lhGX9t	2	Emerson Process Management Regulator Technologies, Inc.
org_0bDGqkxrAtMoc741c6q4	3	JMW CO., LTD.
org_0bEELOZOMsCxg7YbZjsu	2	SeaSpine, Inc.
org_0bGqWXzfFDIfhve7jOqY	2	MMI Anderson Company, LLC
org_0BIkHBAVlPciFMURTJ8T	2	Entrust, Inc.
org_0bkPfCzPkRN23vlHDOkI	2	ZACAABEL, LLC
org_0bM3rznykwQHWbd9pkG2	3	Figaro Engineering Inc.
org_0bm6TURmUGuNpAgZm2ah	3	Elmo i-tech Co., Ltd.
org_0bMCepAheMevWyiFs4xE	3	Claremont Collection Handelsgesellschaft mbH
org_0bORqWO85zYCd4A7AseK	2	Gemfire Corporation
org_0bTR37hiwQdBHSqmxILz	2	Cargo Strategies LLC
org_0BvSF8MNYq5j54tX5FCB	3	SD Lizenzverwertungsgesellschaft mbH & Co. KG
org_0bwfk34FhHFXBnk6sOjS	2	Inner Reach Corporation
org_0byFHheApjs678OasO8B	2	D12 Ventures, LLC
org_0bZMxQGYbSprBEuwO88c	3	Schroth Safety Products GmbH
org_0C0uS0UWAzb0odErPuAv	3	S-Biotek Holding ApS
org_0C8P6BkbCQeHSy5cGen0	2	PayOne Corporation
org_0C98dYE9sUK6eoeDNZdx	2	Innovari, Inc.
org_0Cbnnan3f0Ifpvd9gPji	2	Ace Specialty, Inc.
org_0ccFh2SQ9hzLgvyXULGw	3	Kautex Maschinenbau GmbH
org_0CfcUHsXcZRligRZJ9r1	3	Metasonic GmbH
org_0cG2BPLpMOwp0P4XSWVK	3	Prooff Collection B.V.
org_0CGflf11dzUV39WqtCuA	3	NATIONAL CEREBRAL AND CARDIOVASCULAR CENTER
org_0cGj3elDd0BWimZknK0k	2	TelePresence Technologies, LLC
org_0Cguwk1NbOBXycIwYpCJ	2	Telescoping Associates
org_0cgzKnBHmmvmWSh8iQZQ	3	Enlighten Australia PTY LTD
org_0cKLWbZoCgiu2FaNhG4u	2	Gnet Group, LLC
org_0cpX745251c9dRcFb6xT	2	Expanding Orthopedics Inc.
org_0cQGhOK1XE2b8rJIwIpg	3	Angiochem Inc.
org_0CRn3y7xvyO9Gpd6WhFM	3	DOWA METALTECH CO., LTD.
org_0cWNlj8jOkAbMgJW5gYB	2	Molecular Assemblies, Inc.
org_0Cx2vLUxh5OubESk5ela	3	Semiconductor Insights Inc.
org_0CYpvfSjZTExkx6dUzmk	3	SEI Optifrontier Co., Ltd.
org_0D298DjkqIjjWYXXfFP6	2	OMNOVA Solutions Inc.
org_0d3rYdLyrV0RoLYRQbLn	2	Gabriel Institute, Inc.
org_0D5x9o1Jo2d5E8TAl39L	2	The Burnham Institute
org_0D9dzSlaIYkgZsStfKGd	3	NIPPON SIGMAX CO., LTD.
org_0D9NaNnpH0GXt1sV9HXd	2	Gyroton Corporation
org_0dAMUfIsCVZlD2ecaZiZ	2	BIONANO GENOMICS, INC.
org_0dBE4h9cRaDrCejZk9CU	3	The Japan Steel Works, Ltd.
org_0DbrIaoCMK6l8IuJ7eTd	2	Texas Research International, Inc.
org_0deJa0z5myehzbbVXAgM	3	“Intermind” Societe a Responsabilite Limitee
org_0dGUT3AtgEg7CuyYxkt9	3	Knew Foundation Systems Pty Ltd.
org_0DhB285QGmBK1vIpGDYJ	3	COMMERZIALBANK MATTERSBURG IM BURGENLAND AKTIENGESELLSCHAFT
org_0DhtzRl3qrHu63PgDyt5	2	BSH Home Appliances Corporation
org_0DI7uXM3m7jVVZNnynwO	3	Osteologix A/S
org_0DjFt65YKMHESiPEoFAJ	2	Forcelights, LLC
org_0dnfYg05xdzrUovwryQZ	2	Berry Blue, LLC
org_0dNhPE8KHHll22QSlklE	2	Roxi Group, Inc.
org_0doqT9kiTnCNZaAb9X9t	3	Bar-Ilan University
org_0dOVVkjzDUu1VdUO0veo	2	Vertos Medical, Inc.
org_0dpQkiDQXQuojAA0FcWW	2	Ferrate Treatment Technologies, LLC
org_0dR31RBAUmK85gJefSOU	3	DeepMind Technologies Limited
org_0DSB93EFXku7isiWXVJP	2	Athens Group Holdings LLC
org_0DTvAeOCKW5Vxq7ND3GK	2	Kedem LLC
org_0Dufj6iz2L6NnciN6RwC	2	Tab Two Limited Liability Company
org_0dxGg80MdBSnh6uoJ7Xj	2	Research Institute at Nationwide Children's Hospital
org_0dzjFuaRxR6QhsLXthD0	2	BH5773 Ltd
org_0E5L6k5N0TsgyWTXuS2d	3	Tsukuba Primate Research Center, National Institue of Biomedical Innovation
org_0E72dyXW5ufaEDKVZQWx	2	Arizona Chemical Company
org_0e7SXgVZCcwyp2jGdYvm	3	Delphi Acquisition Holding I B.V.
org_0e9iP0MtNX3DGmspLbaI	3	Dorma GmbH + Co. KG
org_0ecgERLbt6F8WG9yX3gb	2	Oasis Technology, Inc.
org_0EcZglcgHjFeiKTdYfig	3	Stahlwerk Annahutte Max Aicher GmbH & Co. KG
org_0eDis9QrietKKeULTT5r	3	Toyota Jidosha Kabushiki Kaisha
org_0eFmSMy4hjoCN8iiAuZa	3	TERAMOTO CORPORATION LTD.
org_0Eim2HBDhoG4fbRkl0Mw	3	ITW METAFLEX, d.o.o. Tolmin
org_0ejE6vYKgU7c48gaj6TE	2	CIRIS ENERGY, INC.
org_0eLLlf4jsfEbO7esRRsH	2	Violin Memory, Inc.
org_0EltL5fA0kkVzQoXtysH	3	Showa Kinzoku Kogyo Co., Ltd.
org_0em53KKA8yWPERhAvWZ2	3	Societe de Commercialisation des Produits de la Recherche Appliquee Socpra Sciences et Genie S.E.C.
org_0En2mPkgUkMtl6drvf9c	2	Pursuit Vascular, Inc.
org_0EnbLWXiOZPoNBjBvQk9	2	Titan Pharmaceuticals, Inc.
org_0eSGbVoJOjJcRKdyBN94	2	PENDOTECH
org_0EVIy8kWWiF6tep6gjfP	2	BlackRidge Technology Holdings, Inc.
org_0EW1jhAAbBnyQ2s5bXc5	3	Aim To G Co., Ltd.
org_0ewwQSrHSU7OD1cGvKLh	3	Sige Semiconductor (Europe) Limited
org_0Ey3JMM304MChsjCs2C5	3	Spectral Applied Research Inc.
org_0F53ujVn05aCJoimiH4E	3	Seoul National University R&B Foundation
org_0F7Yt8Ywp7CeULAuhN2p	3	Fundacio Privada Institut de Neurorehabilitacio Guttmann
org_0fAzrg92ZNhfXF229Vd5	2	Yen Technologies, LLC
org_0Fbo6T8XTsIIY20OMRcW	3	Nippon Seiko Kabushiki Kaisha
org_0fFEPx551JbdX952B2nW	3	Chieftech Precision Co., Ltd.
org_0FFFQf5jXwmBVGQeXMaP	2	Bowie-Wiggins LLC
org_0fHD8FjUlexCFotBRR0L	3	Reinz-Dichtungs-GmbH
org_0FhxYXRPJKoHDzXa2U8l	3	Pultrusion Technique Inc.
org_0fHzuAL4TDxJIKBQxQth	2	MCC-Norwood, LLC
org_0FiB2fq6ZEdS4zrRCu1Z	3	Wen Sheng Fu Co., Ltd.
org_0FiD8MtuoZxUGdKgKMsK	3	Canare Electric Co., Ltd.
org_0fikFIsskKH4E4FRC2qa	3	MTU Aero Engines GmbH
org_0Fk3HV5qadRJrDsfFEaj	2	La Lumiere LLC
org_0fKMMc31910xtwzJK3Hq	3	CLAY PAKY S.P.A.
org_0FrsCcI0QCqpaKP3b1JI	2	Dieterich Standard, Inc.
org_0FWnqbhnbU5ufJ5ziRoL	2	Blackbird Technologies, Inc.
org_0fwxQNh1FSIA3dnQsCGQ	3	Konkuk University Industrial Cooperation Corp.
org_0fX1SECZuxtQPZMbY6OX	3	Bitzer Kuehlmaschinenbau GmbH
org_0GAU61RSWRWRWlHFe112	2	Acacia Research Group LLC
org_0gD1FAHHkvCzEO0UP6VD	3	Laboratorios León Farma, S.A.
org_0GfnhGqnyKwtKhcuOXur	3	Enerkem, Inc.
org_0ggrDBa2ZndAoGmRPCNo	2	EKOM USA
org_0GGTHRy1owQ2LTeVBIsb	3	Secure Keys PTY Limited
org_0GGYbNAlVYjiDRo99wWE	2	OMEGA-P, INC.
org_0GhgB1DFaNQHodcYPGxV	2	Lankeanau Institute for Medical Research
org_0GklOgeQYEoc7cOcUt97	3	Podscape Holdings Limited
org_0GKRkCOBXbiJfCo7UCin	2	Day International, Inc.
org_0GlVF2Unqezjl3LSLGZB	3	Van Riet Equipment B.V.
org_0gM7zc1ExoEMbAN3P8jW	2	FreezeCrowd, Inc.
org_0GnpfTOsq9neeDdyZXMo	3	Q-Cells SE
org_0gojjoUaG4BjHejSPxqf	3	SCK.CEN
org_0gpj6CYF7GTOPiewnaYV	2	Cooper-Standard Automotive Inc.
org_0GPQRZmX3vWhDD9GmTuP	3	Comexi Group Industries, S.A.
org_0gQdVY9Wu2K0YwmNEJzg	2	The Sky Factory, LC
org_0gQXE7eVYQpccfHUMhLt	2	Introplay LLC
org_0GSCJeriG1mQiq5vqwZw	2	Psimast, Inc
org_0GuDwiTo1QFd59ngrmzR	2	Keith Manufacturing Co.
org_0gVYTqvppkziaqpm4pQv	3	Keratin Complex Holdings, Inc.
org_0GWyp2Ycy4cryNtBoF2B	2	Evergreen Tool Co., Inc.
org_0gz23GQ3c4Jr3ZgIJwOf	3	FASOO.COM CO., LTD
org_0h0AcUt58Fbdh4Vu5Amp	3	Tobacco Research Institute of Hubei Province
org_0h22BnSS2pxlXfTlFsfI	2	BroadSoft, Inc.
org_0h76ny4MLtdkW0QNNwm7	2	Beyondvia Technologies
org_0hDWkSaPvpcCApwTjILJ	3	I-SHOU UNIVERSITY
org_0hIdI0f9EYDaEyph8ElE	3	Modz Oy
org_0Hijo0vjVmJGMA7tR6ha	3	Center for Space Science and Applied Research, Chinese Academy of Sciences
org_0hJOMNrwEeme4FsngoNV	2	Florica Farms, Inc.
org_0HlLgXUxzS6gjLcgOlxf	2	KSR IP Holdings, LLC
org_0hlUjWewNDN5LFmD0YLY	3	Ove Arup & Partners International Limited
org_0hNGhBlhOEGoMbNWjb6Z	3	Corvus Energy Ltd.
org_0hp8PPDKzce5yQ8m7nJu	2	Keracure, Inc.
org_0hPiCGq06a6fxynakunC	2	Mavenir Systems, Inc.
org_0HsJ7vaHktawCOewuE3a	3	Brother Kyogo Kabushiki Kaisha
org_0hUZkEjxN4k3Ne8Yi21P	2	Hi-Tech Pharmacal Co., Inc.
org_0HVMntkoZlRcjljvyfqv	2	CBF Networks, Inc.
org_0hWev2ugBT8trHHfd6tF	3	Taiho Kogyo Co., Ltd.
org_0HXEOKcCwJGLDmGIHJWa	3	Power Plus Products Ltd.
org_0HzdaifOvweMfkjriegV	2	Electroform Company
org_0hZsgRMhsHFVaIg53jos	3	Nitta Haas Incorporated
org_0i0cLDqxjfdQxNeRhMDR	2	Texas Biochemicals, Inc.
org_0I0UxerEYAbI35DTiu8u	2	FISHER CONTROLS INTERNATIONAL LLC
org_0I2FOV7dZUp0AEwuLW33	3	HOERBIGER AUTOMATISIERUNGSTECHNIK HOLDING GMBH
org_0i4CroXLJVufe39wGl96	3	Delex Teknik AB
org_0I6PsxAoPnTScbrpEuAz	2	Conco Systems, Inc.
org_0I8byngPyPWejvKQfnty	3	Scil Technology GmbH
org_0Ia9xggsMsigzETc4xfJ	2	Milne Fruit Products, Inc.
org_0ICg18LvEMg59ymMPPBa	2	Sears Ecological Applications Co. LLC and Sears Petroleum & Transport Corporation
org_0icvRFDEv1RGkSPGpiNg	2	NanoLite Systems, Inc.
org_0IDSOTiezuqZGETW1ZHG	3	Storz Endoskop Produktions GmbH
org_0IDUdfghyTHb3T33Wf3T	3	Senju Metal Industry Co., Ltd.
org_0IEXF7YW34rB4WZ1SEfd	2	Zetta Research and Development—Volomedia Series
org_0igJPqPpd4wefiGSLBOf	3	MDZ Beheer B.V.
org_0iHetSoMh35nT1Mfq710	2	Song1, LLC
org_0ihU3yhDTr6X0bZ0kzXc	2	Fair Oaks Farms Brands, Inc.
org_0iiJapJ5sBHGh0RBZxpj	2	Travel Tags, Inc.
org_0iizFxBpAC3Ai60pKW79	2	Kankakee Spikeball, Inc.
org_0IjCm1aeH9zevWmFu4KI	2	Green Energy Technologies, LLC
org_0IJHuMQSmsjszDvSsuxP	3	Omikron Italia S.r.l.
org_0ijRQrc19qJnIzT8SCU4	3	PIERRE FABRE MEDICAMENT
org_0Il4BpdS9zu7HbGD5IRu	2	ViraTox, L.L.C.
org_0iMJVFFq5CflDpakzxMH	2	Kaivac, Inc.
org_0IoJQBGt2JlVukFRRG9G	2	Smart Options, LLC
org_0IRhL5aNd7qk4Ji9ILzg	2	Voyetra Turtle Beach, Inc.
org_0isvD2GQIFtK6fFLsMY5	2	SIDEKICK TECHNOLOGY LLC
org_0IthiCLpiRQp8olbCf14	3	CuraPhyte Technologies Inc.
org_0iUPYzzlKaQN4kvCGoIh	3	Universtitat de Valencia
org_0iUSiflfwAKQiCFmL14Z	3	Ecole Nationale Superieure d'Ingenieurs (ENSI)
org_0IWN7kwNUPLjEaEYuW5y	2	Platt Technology Investments LLC
org_0ixPg1A7BOKhYQ9TXmxs	2	PolyPlus Batter Company
org_0iYHlxlSdhzzsakg67iz	2	Microconnect, Inc.
org_0iyPWcxjjFElGcpvoVii	2	Navajo Manufacturing Company, Inc.
org_0izKg9agYsCaizqLuQ1f	3	Lios Technology GmbH
org_0j6kLCmtuCvwkflEV0A4	2	RESTORATION ROBOTICS, Inc.
org_0J74O4S4VLtngeqHOQwl	2	Postoak Services, Inc.
org_0J9JXuIakKah7QngEUnE	3	SUIKEN CO., LTD.
org_0JboE5KJgIaJ3IE6JB6D	3	Sakundiak Equipment Ltd.
org_0jEe4G1vNfLaVfbHws2d	2	Portco Automation, LLC
org_0jF5xtFoJmkMBfPN8afH	3	Accessible Publishing Systems Pty Ltd
org_0Jg4ZkzOqMqwRloTSjVj	2	Centinal Spine, Inc.
org_0JhdAVVSrrcDgI9xZZWU	3	Innovation Thru Energy Co., Ltd.
org_0JI62xXNjguOJ2ozLHcP	2	Kuryakyn Holdings, Inc.
org_0JKBLV3vyfvkli4H2XT1	3	Christ Water Technology AG
org_0Jmv92wq8NKj1ejhoIkW	2	TTN Holdings, LLC
org_0jnlzamKN02HmIhJlIJK	2	Homax Products, Inc.
org_0jnROx0OK9yizQM3HL1p	3	METTLER TOLEDO (CHANGZHOU) SCALE & SYSTEM LTD.
org_0joUyxzNUzCRxYl84HkJ	2	Lovan Enterprises, LLC
org_0JQHm9Sdy9zJTF8s3tNf	2	President and Fellows of Harvard College
org_0jS3uQq9kKZLsvlwi84P	2	Bartule LLC
org_0jsMBvBVX6D6VefDZb2B	3	De' Longhi S.p.A.
org_0Jv0DffBLChYMgFSC03x	3	TeliaSonera AB
org_0jvMKl4evlos8vgMgEyf	3	ANGEL PLAYING CARDS CO., LTD.
org_0JVYv7u5bJr1QQvSB2O8	2	Imerys Filtration Minerals, Inc.
org_0JX4DeWSQyv5hIzFsNKS	3	Trio Food Processing Machinery AS
org_0JzCIFt5xL3MFsWTIPey	3	Dragontree Beheer B.U.
org_0k4qDJs31VvSKd4USCBN	3	Investigacion y Nutricion, S.L.
org_0k75fCBGDsBu6RZciHqw	3	Jinan Shengquan Double Surplus Ceramic Filter Co., Ltd.
org_0k9brMv97iZ9lHHxbc5P	2	Black & Decker Inc.
org_0kbdnNOyUg8fzGSfUeEh	3	Aminologics Co., Ltd.
org_0kC8b6zBtsiK6XVCN8Sf	2	Underground Recovery, LLC
org_0KEpKQ9kYUBGd15pS18d	2	Convergent Media Solutions LLC
org_0kfSU71y8agb0UHXAtV5	3	Natuzzi S.p.A.
org_0KJkDZ1igg8qtKXvnn69	3	BREVETTI ANGELA S.R.L.
org_0KKa8O3ACQorNvIPrcMS	3	Boehler Schmiedetechnik GmbH & Co. KG
org_0kMiqMq758H4PtdgmaZt	2	Walk Score Management, LLC
org_0KprLvDAijvJCOlPn4KW	3	Reverse Proteomics Research Institute Co., Ltd.
org_0kRyXIjtHFOmJj6APH8n	3	P Lindberg Forvaltning AB
org_0kT5UzpiflJdTY2cLUZW	2	Etonic Holdings, LLC
org_0kTOAxfAw8luOBEyKBe5	3	Websense UK Limited
org_0l0pD5LXXS3Z7z4IdY1H	2	Easton Technical Products, Inc.
org_0l6gvjnaaSHeBunaosbP	2	Condomnation LLC
org_0LcAiJdYUBH2k8JfUlUe	2	Blasch Precision Ceramics, Inc.
org_0lcRYRFRTs9vpbIXpblU	2	Coalogix Technology Holdings Inc.
org_0LdR7wgBin2KLgxqbVgr	2	Prime Photonics, LC
org_0LHsiauN5ksHb32pi2tf	3	Johnson Controls Autobatterie GmbH & Co. KGaA
